Year,District ID,Total P1 Boys Enrollment,Total P1 Girls Enrollment,Total P2 Boys Enrollment,Total P2 Girls Enrollment,Total P3 Boys Enrollment,Total P3 Girls Enrollment,Total P4 Boys Enrollment,Total P4 Girls Enrollment,Total P5 Boys Enrollment,Total P5 Girls Enrollment,Total P6 Boys Enrollment,Total P6 Girls Enrollment,Total P7 Boys Enrollment,Total P7 Girls Enrollment,Total Boys Enrollment,Total Girls Enrollment,Total Enrollment,Total Drop Out, Number of Male teachers,Number of female teachers, Number of teacher's who provide special needs education,Total Number of Teachers,Number of Absent Teachers, Number of teacher's who provide special needs education.1,Is there a water source?,Is the school connected to any source of power?,Number of toilet stances boys, Number of toilet stances girls,Is there  a sickbay?,Is there a playfield?,Are there mid day meals?,Does the school have a talking compound?,Number of teachers housed within the school,Is there alibrary?,Is there a staffroom?,Total number of classrooms,Does the school have a class day?,Does the school hold sports day?, Does the school hold MDD ?
2015.0,322.0,49.0,51.0,21.0,24.0,28.0,25.0,38.0,33.0,34.0,32.0,27.0,18.0,16.0,14.0,213.0,197.0,410.0,0.0,5.0,1.0,0.0,6.0,8.532745255279337,0.0,1.0,0.0,5.0,5.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,0.0,0.49295223179326547,6.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,83.0,80.0,84.0,67.0,43.0,65.0,66.0,71.0,91.0,68.0,78.0,63.0,37.0,29.0,482.0,443.0,925.0,0.0,6.0,1.0,0.0,7.0,8.532745255279337,0.0,0.0,1.0,5.0,5.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,1.0,0.49295223179326547,14.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,95.0,93.0,25.0,43.0,30.0,25.0,36.0,41.0,29.0,32.0,31.0,20.0,0.0,19.0,246.0,273.0,519.0,0.0,7.0,4.0,1.0,11.0,8.532745255279337,1.0,0.0,0.0,1.0,1.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,43.0,39.0,20.0,35.0,49.0,18.0,34.0,26.0,18.0,27.0,49.0,33.0,23.0,10.0,236.0,188.0,424.0,0.0,5.0,0.0,1.0,5.0,8.532745255279337,1.0,1.0,0.0,1.0,1.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,80.0,90.0,60.0,72.0,68.0,62.0,53.0,55.0,61.0,62.0,63.0,54.0,35.0,20.0,420.0,415.0,835.0,0.0,8.0,1.0,0.0,11.0,8.532745255279337,0.0,0.0,0.0,10.0,10.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,88.0,84.0,96.0,67.0,60.0,62.0,77.0,90.0,63.0,55.0,55.0,23.0,39.0,10.0,478.0,391.0,869.0,0.0,15.0,1.0,0.0,16.0,8.532745255279337,0.0,1.0,0.0,5.0,5.0,0.054770555779841204,1.0,True,0.0,4.077697841726619,1.0,0.49295223179326547,9.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,35.0,31.0,45.0,41.0,35.0,30.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,127.0,260.0,0.0,2.0,1.0,1.0,3.0,8.532745255279337,1.0,0.0,0.0,1.0,1.0,0.054770555779841204,0.0,False,0.0,4.077697841726619,0.0,0.49295223179326547,4.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,93.0,85.0,65.0,49.0,58.0,55.0,67.0,68.0,62.0,87.0,51.0,34.0,35.0,21.0,431.0,399.0,830.0,0.0,13.0,4.0,0.0,17.0,8.532745255279337,0.0,1.0,1.0,3.0,4.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,1.0,0.49295223179326547,11.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,44.0,38.0,24.0,31.0,33.0,22.0,30.0,21.0,22.0,32.0,27.0,15.0,14.0,6.0,194.0,165.0,359.0,0.0,6.0,1.0,0.0,7.0,8.532745255279337,0.0,0.0,0.0,0.0,0.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,61.0,54.0,28.0,5.0,15.0,13.0,45.0,52.0,49.0,48.0,46.0,41.0,9.0,14.0,253.0,227.0,480.0,0.0,6.0,1.0,0.0,7.0,8.532745255279337,0.0,0.0,0.0,4.0,3.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,65.0,53.0,48.0,18.0,40.0,47.0,41.0,48.0,38.0,57.0,52.0,45.0,21.0,13.0,305.0,281.0,586.0,0.0,7.0,2.0,0.0,9.0,8.532745255279337,0.0,1.0,0.0,4.919693229901269,5.062874251497006,0.054770555779841204,1.0,True,0.0,4.077697841726619,0.0,0.49295223179326547,8.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,102.0,142.0,56.0,69.0,67.0,53.0,80.0,66.0,71.0,68.0,90.0,67.0,45.0,15.0,511.0,480.0,991.0,0.0,10.0,3.0,0.0,13.0,8.532745255279337,0.0,0.0,0.0,1.0,1.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,58.0,15.0,35.0,37.0,43.0,31.0,55.0,39.0,54.0,48.0,30.0,52.0,17.0,7.0,292.0,229.0,521.0,0.0,9.0,2.0,0.0,11.0,8.532745255279337,0.0,1.0,0.0,3.0,3.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,1.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,39.0,52.0,27.0,22.0,33.0,24.0,21.0,41.0,30.0,25.0,29.0,25.0,24.0,11.0,203.0,200.0,403.0,0.0,5.0,1.0,1.0,6.0,8.532745255279337,1.0,1.0,0.0,3.0,2.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,44.0,47.0,48.0,37.0,43.0,55.0,31.0,43.0,41.0,34.0,29.0,18.0,26.0,6.0,262.0,240.0,502.0,0.0,9.0,3.0,0.0,12.0,8.532745255279337,0.0,1.0,0.0,9.0,12.0,0.054770555779841204,1.0,False,1.0,4.077697841726619,0.0,0.49295223179326547,14.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.533713692946058,5.294675482860623,0.9422615476904619,13.03130946203079,8.532745255279337,1.1662381218557853,0.597383210396909,0.16734800382708534,4.919693229901269,5.062874251497006,0.054770555779841204,0.8794553811464747,,0.6283091184597558,4.077697841726619,0.460419155174286,0.49295223179326547,8.35506926674314,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,101.0,98.0,42.0,29.0,49.0,50.0,49.0,55.0,57.0,55.0,51.0,48.0,28.0,22.0,377.0,357.0,734.0,0.0,7.0,2.0,0.0,9.0,8.532745255279337,0.0,0.0,0.0,1.0,1.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,0.0,0.49295223179326547,7.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,84.0,91.0,71.0,86.0,54.0,91.0,72.0,96.0,123.0,109.0,67.0,71.0,33.0,9.0,504.0,553.0,1057.0,0.0,7.0,2.0,0.0,9.0,8.532745255279337,0.0,1.0,1.0,2.0,2.0,0.054770555779841204,1.0,False,0.0,4.077697841726619,0.0,0.49295223179326547,8.0,0.708007224563516,0.8777120315581854,0.8001196888090963
2015.0,322.0,127.0,129.0,58.0,69.0,66.0,69.0,89.0,94.0,82.0,89.0,68.0,86.0,50.0,19.0,540.0,555.0,1095.0,0.0,9.0,1.0,1.0,10.0,8.532745255279337,1.0,1.0,0.0,3.0,2.0,0.054770555779841204,1.0,True,0.0,4.077697841726619,0.0,0.49295223179326547,6.0,0.708007224563516,0.8777120315581854,0.8001196888090963
